"id";"MotionOutcomeAndDescription";"PageURL";"MotionVoteOutcome";"VideoTimeSlot";"MeetingIDValue";"ItemID"
"21";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of part of 1735 Old Carp Road from 01A (Parks and Open Space, Subzone A) to RR3(XXXr) (Rural Residential Third Density, Subzone 3 with a Rural Exception), as shown in Document 1 and as detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109698";"Passed";NULL;"2211";"109698"
"22";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 2985 Moodie Drive from AG3 (Agricultural, Subzone 3) to AG7 (Agricultural, Subzone 7), as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109701";"Passed";NULL;"2211";"109701"
"23";"Passed    Motion To: WHEREAS Report ACS2012-PAI-PGM-0144 erroneously recommends accessory buildings may be used to a maximum floor area of 30 square metres.
 BE IT RESOLVED THAT Document 2, ‘Proposed Changes to the Comprehensive Zoning By-law’, Section 2(b)(i) be amended to read: 
“Accessory buildings may be used to a maximum floor area of 930 square metres”. 
That no further notice be provided pursuant to Section 34(17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109705";"Passed";NULL;"2211";"109705"
"24";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 5576 Faulkner Trail and 5585 Fallowfield Road from Agricultural, Subzone 1 (AG1) to Agricultural with an Exception (AG[XXXr]) and Agricultural, Subzone 6 (AG6), as shown in Document 1 and as detailed in Document 2, as amended to read in Document 2, ‘Proposed Changes to the Comprehensive Zoning By-law’, Section 2(b)(i)  “Accessory buildings may be used to a maximum floor area of 930 square metres” and that no further notice be provided pursuant to Section 34(17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109705";"Passed";NULL;"2211";"109705"
"25";"Passed    Motion To: That the Agricultural and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 8635 Russell Road from Agricultural, Subzone 1 (AG1) to Agricultural, Subzone 6 (AG6), as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109700";"Passed";NULL;"2211";"109700"
"26";"Passed    Motion To: test motion";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=108841";"Passed";NULL;"2181";"108841"
"27";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council approve the appointment of Michel Frojmovic, Nathalie Myles and Becky Rynor to the Wellington West Business Improvement Area Board of Management for the term expiring November 30, 2014.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=121930";"Passed";NULL;"2412";"121930"
"28";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council approve the appointment of Michel Frojmovic, Nathalie Myles and Becky Rynor to the Wellington West Business Improvement Area Board of Management for the term expiring November 30, 2014.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=121930";"Passed";NULL;"2412";"121930"
"29";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council:

1.	Approve the area described in Document 1 of this report to be designated as the “Sunnyside Village Old Ottawa South Business Improvement Area (BIA)” under Section 204 of the Municipal Act, 2001;

2.	Authorize and direct the City Clerk and Solicitor to send out a notice of Council's intention to pass a by-law designating the area, as defined in Document 1, as a Business Improvement Area, in accordance with Section 210 of the Municipal Act, 2001;

3.	Enact the following two enabling by-laws, subject to the City Clerk and Solicitor reporting favourably on the results of the intention to pass a by-law designating the area as Business Improvement Area as contemplated by Section 210 of the Municipal Act, 2001, referred to in Recommendation 2:
a.	a by-law to designate the area as a Business Improvement Area, as described in Document 1, to be named the “Sunnyside Village Old Ottawa South Business Improvement Area (BIA)”; and
b.	a by-law to establish the Board of Management of the Business Improvement Area, to be named the ""Sunnyside Village Old Ottawa South Business Improvement Area (BIA) Board of Management.”
";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=121931";"Passed";NULL;"2412";"121931"
"30";"Failed    Motion To: That the Finance and Economic Development Committee recommend Council approve entering into a Municipal Access Agreement with Birch Hill Telecom Corporation as described in this report.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=121937";"Failed";NULL;"2412";"121937"
"31";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council receive the Lansdowne Heritage and Algonquin Interpretation and Public Art Implementation Plan as outlined in this report and presented in Documents 1, 2 and 3 to this report.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=121938";"Passed";NULL;"2412";"121938"
"32";"Passed    Motion To: Minutes 23, regular meeting of Monday, 25 June 2012";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119339";"Passed";NULL;"2364";"119339"
"33";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119341";"Passed";NULL;"2364";"119341"
"34";"Passed    Motion To: That the Agricultural and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of part of 4175 Nixon Drive from AG2 (Agricultural, Subzone 2) to AG6 [XXXr] (Agricultural, Subzone 6 with an exception), as shown in Document 1 and as detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119342";"Passed";NULL;"2364";"119342"
"35";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 2215 Sixth Line Road, as shown in Document 1, by amending Exception 326r to permit a garden suite for a three year period, as detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119343";"Passed";NULL;"2364";"119343"
"36";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to Zoning By-law 2008-250 to change the zoning of 168 A and B Rivington Street from V3I[361r] (Village Residential Third Density, Subzone I, Rural Exception 361) to V3B[XXXr] (Village Residential Third Density, Subzone B, with a Rural Exception) as shown in Document 1 and detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119344";"Passed";NULL;"2364";"119344"
"37";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve amendments to the Zoning By-law 2008-250 to change the zoning as detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119345";"Passed";NULL;"2364";"119345"
"38";"Passed    Motion To: 1.         That Report ACS2012-PAI-PGM-0213 be amended by deleting:
a)         Items 4 and 5 from Document 2 – List of Anomalies and Modifications to Zoning By-law 2008-250 For the Consideration of the Agricultural and Rural Affairs; and, 
b)        Attachments 11 and 12 from Document 3 – List of Site Specific Location Maps.
 
2.         That no further notice be provided pursuant to Section 34(17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119346";"Passed";NULL;"2364";"119346"
"39";"Passed    Motion To: That the Agricultural and Rural Affairs Committee recommend that Council approve the amendments recommended in Column III of revised Document 2 (Items 4 and 5 deleted) and as shown in revised Document 3 (Attachments 11 and 12 deleted), to correct anomalies in Zoning By-law 2008-250 and that no further notice be provided to Section 34(17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119346";"Passed";NULL;"2364";"119346"
"40";"Passed    Motion To: 



That the Agriculture and Rural Affairs Committee: 





1.         Direct staff to examine excess capacity and allocation in the Carlsbad Trickle Feed System as part of the Rural Review Process and Infrastructure Master Plan update; 


 


2.         Recommend that Council approve connections to the Carlsbad Trickle Feed System at 4508 Eighth Line Road and other addresses subject to severance applications before the Committee of Adjustment as of 12 September 2012; and
 




3.         Recommend that Council propose to the Committee of Adjustment that no further connections to the Carlsbad Trickle Feed System be permitted as of 1 January 2013 until such time as the Infrastructure Master Plan is revised and updated.
 
4.         Refer this report to the 12 September 2012 City Council Meeting.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119347";"Passed";NULL;"2364";"119347"
"41";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council:
 
1.         Amend the recommendation by inserting, after the word “include” in the second line, the phrase “5210 and 5220 Innes Road and”
2.         Amend document 1 by identifying 5210 and 5220 Innes Road;
3.         Amend the text in Article 2.1 of Part B of Document 2, inserting, after the word “as” in the second line, the phrase “5210 and 5220 Innes Road and”.




4.         Further amend the text in Article 2.1 of Part B of Document 2, inserting, before the word “impacts” in the third line, the word “potential”.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119348";"Passed";NULL;"2364";"119348"
"42";"Passed    Motion To: 



That the Agriculture and Rural Affairs Committee recommend Council approve and adopt an amendment to the Official Plan to include 5210 and 5220 Innes Road and 2075, 2201, 2207, 2217, 2229, 2241, 2255, 2287, 2317, 2331, 2339 and 2347 Trim Road within the Public Service Area, as shown on revised Document 1 (identify 5210 and 5220 Innes Road) and as detailed in revised Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119348";"Passed";NULL;"2364";"119348"
"43";"Passed    Motion To: That Agriculture and Rural Affairs Committee recommend that Council: 
1. Receive the results of the Bridge Street Connection Study for Long Island South Environmental Assessment Study as detailed in this report; and 
2. Direct staff to finalize the Environmental Study Report and proceed with its posting of the 30-day public review period in accordance with Ontario Municipal Class Environmental Assessment, Schedule “B” process. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119349";"Passed";NULL;"2364";"119349"
"44";"Failed    Motion To: That the proposed lot minimum be reduced from 8000 square metres to 4000 square metres.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119350";"Failed";NULL;"2364";"119350"
"45";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend that Council approve an amendment to the Zoning By-law 2008-250 to include provisions for regulating hydronic heaters (outdoor woodburning boilers), as detailed in Document 4. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119350";"Passed";NULL;"2364";"119350"
"46";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve the following: 
1. Declare the property known municipally as part of 2086 and 2132 Tenth Line Road and described as part of Lot 1, Concession 11, geographic Township of Cumberland, now in the City of Ottawa being part of PINS 14563-0059 and 14563-0061, containing an area of 4.5174 ha (11.17 acres) and shown hatched and identified as Parcels 1 and 2 on Document 1 attached, as surplus to the City’s needs; 
2. Release the Restrictive Covenants for the portion of the property identified as Parcel 2 on Document 1; 
3. Sale of the property detailed in Recommendation 1 to Hydro One Networks Inc., for the amount of $2,735,000 plus HST, if applicable, pursuant to an Agreement of Purchase and Sale that has been received. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119351";"Passed";NULL;"2364";"119351"
"47";"Passed    Motion To: Minutes 16 of Monday, 18 June 2012";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114444";"Passed";NULL;"2275";"114444"
"48";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114446";"Passed";NULL;"2275";"114446"
"49";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114447";"Passed";NULL;"2275";"114447"
"50";"Passed    Motion To: Minutes 16 of the meeting held on Thursday, 21 June 2012";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119273";"Passed";NULL;"2363";"119273"
"51";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119276";"Passed";NULL;"2363";"119276"
"52";"Passed    Motion To: That this item be deferred.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119277";"Passed";NULL;"2363";"119277"
"53";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119278";"Passed";NULL;"2363";"119278"
"54";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119279";"Passed";NULL;"2363";"119279"
"55";"Passed    Motion To: That Community and Protective Services Committee recommend that Council approve a proposal to name a new park at 155 Sunshine Crescent, “Norman Edwards Park”. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119280";"Passed";NULL;"2363";"119280"
"56";"Passed    Motion To: That the Community and Protective Services Committee recommend that Council approve a proposal to name the parkette at 100 Clifford Campbell Street, as “Egbert Reitsma Parkette.” ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119281";"Passed";NULL;"2363";"119281"
"57";"Passed    Motion To: That Community and Protective Services Committee recommend that Council approve a proposal to rename Goldridge Park, at 400 Goldridge Drive, as “Jim Malone Park.” ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119282";"Passed";NULL;"2363";"119282"
"58";"Passed    Motion To: That the Community and Protective Services Committee recommend that Council approve a proposal to name an unnamed park at 1070 Forest Lea Drive, as “Syd and Verna Cotton Park.” ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119283";"Passed";NULL;"2363";"119283"
"59";"Passed    Motion To: That the Community and Protective Services Committee recommend that Council approve the 2013 Ottawa Paramedic Service response time performance plan as outlined in Document 3. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119284";"Passed";NULL;"2363";"119284"
"60";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119285";"Passed";NULL;"2363";"119285"
"61";"Passed    Motion To: That Community and Protective Services Committee recommend Council receive the listing of projects funded through the program in 2011 as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119286";"Passed";NULL;"2363";"119286"
"62";"Passed    Motion To: That Community and Protective Services Committee recommend Council approve the listing of projects as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=119287";"Passed";NULL;"2363";"119287"
"63";"Passed    Motion To: That Minutes 26 of the Transit Commission meeting of August 24 be confirmed.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111261";"Passed";NULL;"2218";"111261"
"64";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111275";"Passed";NULL;"2218";"111275"
"65";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111274";"Passed";NULL;"2218";"111274"
"66";"Passed    Motion To:  1. That the Transit Commission receive this report for information. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110837";"Passed";NULL;"2218";"110837"
"67";"Passed    Motion To: 2. That the Transit Commission recommend that Council authorize the closing of capital project 900292 Bus Equipment Replacement Program and the return of the remaining funding of $1.1 million to the Transit capital reserve fund. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110837";"Passed";NULL;"2218";"110837"
"68";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110550";"Passed";NULL;"2218";"110550"
"69";"Passed    Motion To: Minutes 21 of the Transportation meeting on 5 September 2012 ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114964";"Passed";NULL;"2285";"114964"
"70";"Passed    Motion To: That the Transportation Committee approve the addition of this item for consideration by the committee at today’s meeting, pursuant to subsection 84(3) of the procedure by-law (being by-law no. 2006-462).";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114965";"Passed";NULL;"2285";"114965"
"71";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114967";"Passed";NULL;"2285";"114967"
"72";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114968";"Passed";NULL;"2285";"114968"
"73";"Passed    Motion To: That the Transportation Committee recommend that Council receive for information the proposed 2013 Municipal Vehicle and Equipment Capital Replacement Plan. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114969";"Passed";NULL;"2285";"114969"
"74";"Passed    Motion To: That the Transportation Committee recommend Council approve the implementation of features to enhance the pedestrian safety at the intersections of Campeau Drive/Kanata Avenue and Campeau Drive/Terry Fox Drive as part of the Campeau Drive widening project as outlined in this Report. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=115035";"Passed";NULL;"2285";"115035"
"75";"Passed    Motion To: That the Transportation Committee approve the Statement of Work for the proposed Cambrian Road widening from re-aligned Greenbank Road to Jockvale Road Environmental Assessment Study, as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=115037";"Passed";NULL;"2285";"115037"
"76";"Passed    Motion To: That the Transportation Committee approve the Statement of Work for the proposed Carp Road widening from Hazeldean Road to Highway 417 Environmental Assessment Study, as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=115041";"Passed";NULL;"2285";"115041"
"77";"Passed    Motion To: That the Transportation Committee recommend Council approve the acquisition of approximately 4.027 ha of land in fee simple described as being part of Lot 14, Concession 1 Rideau Front in the Geographic Township of Nepean, City of Ottawa and municipally known as 3311 Woodroffe Avenue, shown as parcels A and C on Document “1” from South Nepean Development Corporation for the consideration of $5,283,000 plus applicable taxes and legal fees related to the purchase. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=115053";"Passed";NULL;"2285";"115053"
"78";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=115151";"Passed";NULL;"2285";"115151"
"79";"Passed    Motion To: That the committee RECEIVE the presentation for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111591";"Passed";NULL;"2206";"111591"
"80";"Passed    Motion To: That this item be carried on consent.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111784";"Passed";NULL;"2206";"111784"
"81";"Passed    Motion To: That consideration of this item, Update - Kennel Licensing Regulations (Report No. ACS2012-COS-EPS-0029) be deferred to the Agriculture and Rural Affairs Committee meeting of Thursday, 6 December 2012, to allow for an additional period of consultation and review.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111070";"Passed";NULL;"2206";"111070"
"82";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend that Council adopt the Engineer’s Report prepared by Robinson Consultants Inc., entitled Amendment to the Engineer’s Report for the Monahan Creek Municipal Drain Modifications and Improvements dated June 2012, for a drainge works project under Subsection 78 of the Drainage Act with respect to the existing drainage works known as the Monahan Creek Municipal Drain and give 1st and 2nd reading to the By-law attached as Document 2 to this report in accordance with Sections 42 and 45 of the Drainage Act of Ontario. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110633";"Passed";NULL;"2206";"110633"
"83";"Passed    Motion To: THAT the Rural Affairs Office develop and report back with a by-law to allow ATV use on certain municipal roadways (both opened and unopened) in Osgoode Ward on a pilot project basis, and to set out appropriate regulations for such use, in consultation with residents, the Ottawa Police Service, the By-law and Regulatory Services Branch, the Traffic Safety and Operational Support Branch of Public Works, and Legal Services. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110843";"Passed";NULL;"2206";"110843"
"84";"Passed    Motion To: That the Agriculture and Rural Affairs Committee receive this report for information.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110843";"Passed";NULL;"2206";"110843"
"85";"Passed    Motion To: That the Agriculture and Rural Affairs Committee and Planning Committee recommend to Council: 
1.   Approve the service delivery model and fee structure for the prohibition, inspection and remediation of buildings used for marijuana grow operations, as outlined in this report and summarized in Document 1;";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111616";"Passed";NULL;"2206";"111616"
"86";"Passed    Motion To: 2.   Approve the By-law substantially in the form of Document 2, pertaining to the prohibition, inspection and remediation of buildings used for marijuana grow operations; and";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111616";"Passed";NULL;"2206";"111616"
"87";"Passed    Motion To: 3.   Direct staff to prepare comments on Health Canada’s proposed regulations with respect to the production and distribution of medical marijuana that will reform the Marihuana Medical Access Program, and report back to City Council early in 2013.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111616";"Passed";NULL;"2206";"111616"
"88";"Passed    Motion To: That Agricultural and Rural Affairs Committee and Planning Committee recommend Council:
 
1.            Approve and adopt an amendment to the Official Plan to amend policies related to the Natural Features and Functions, Environmental Impact Statement and Implementation as detailed in Document 1;
 
2.            Approve and adopt an amendment to the Official Plan to include the Natural Heritage System Overlays, as shown in Schedules 1, 2 and 3 of Document 1 as Schedules L1, L2 and L3, respectively, of the Official Plan.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110727";"Passed";NULL;"2206";"110727"
