"id";"MeetingName";"Date";"Time";"DateTime";"Contact";"PageURL";"AgendaHTML";"AgendaPDF";"ActionSummaryHTML";"ActionSummaryPDF";"MinutesHTML";"MinutesPDF";"VideoLink";"MeetID";"UnixDateTime"
"11";"Finance and Economic Development Committee";"2012-Jul-06";"9:30 AM";"41096.3958";"Diane Blais613-580-2424, ext. 28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2216&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4035";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2216&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4035";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2216&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4035";NULL;"2216";"1341653400"
"12";"Planning Committee";"2012-Jul-09";"9:30 AM";"41099.3958";"Christopher Zwierzchowski613-580-2424 x 21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2362&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3823";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2362&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3823";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2362&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3823";NULL;"2362";"1341912600"
"13";"City Council";"2012-Jul-11";"10:00 AM";"41101.4167";"Dawn Whelan613-580-2424 x 21837
                Email: dawn.whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2487&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4603";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2487&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4603";NULL;"2487";"1342087200"
"14";"Ottawa Built Heritage Advisory Committee";"2012-Aug-02";"6:00 PM";"41123.7500";"Kelly Sammon613-580-2424 x16875
                Email: Kelly.Sammon@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2410&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4032";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2410&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4032";NULL;"2410";"1344016800"
"15";"Planning Committee";"2012-Aug-23";"9:30 AM";"41144.3958";"Christopher Zwierzchowski613-580-2424 x21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2361&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3801";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2361&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3801";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2361&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3801";NULL;"2361";"1345800600"
"16";"Transit Commission";"2012-Aug-24";"9:30 AM";"41145.3958";"Melody Duffenais(613)-580-2424 ext./poste 20113
                Email: melody.duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2214&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3912";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2214&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3912";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2214&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3912";NULL;"2214";"1345887000"
"17";"Finance and Economic Development Committee";"2012-Aug-27";"9:30 AM";"41148.3958";"Diane Blais613-580-2424, ext. 28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2143&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4028";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2143&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4028";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2143&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4028";NULL;"2143";"1346146200"
"18";"Environment Committee";"2012-Aug-28";"9:30 AM";"41149.3958";"Carole Legault613-580-2424 x28934
                Email: carolea.legault@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2213&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4010";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2213&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4010";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2213&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4010";NULL;"2213";"1346232600"
"19";"Debenture Committee";"2012-Aug-28";"10:00 AM";"41149.4167";"Joel Monfils613-580-2424 x26837
                Email: joel.monfils@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2221&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4005";NULL;NULL;NULL;NULL;NULL;"2221";"1346234400"
"20";"City Council";"2012-Aug-29";"10:00 AM";"41150.4167";"Dawn Whelan21837
                Email: dawn.whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2151&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4056";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2151&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4056";NULL;"2151";"1346320800"
"21";"Finance and Economic Development Committee";"2012-Aug-30";"9:30 AM";"41151.3958";"Diane Blais613-580-2424, ext. 16760
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2219&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4003";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2219&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4003";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2219&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4003";NULL;"2219";"1346405400"
"22";"Transportation Committee";"2012-Sep-05";"9:30 AM";"41157.3958";"Melody Duffenais613-580-2424 x20113
                Email: Melody.Duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2121&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=2951";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2121&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=2951";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2121&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=2951";NULL;"2121";"1346923800"
"23";"Agriculture and Rural Affairs Committee";"2012-Sep-06";"9:30 AM";"41158.3958";"Marc Desjardins613-580-2424 x28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2364&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3855";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2364&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3855";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2364&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3855";NULL;"2364";"1347010200"
"24";"Planning Committee";"2012-Sep-11";"9:30 AM";"41163.3958";"Christopher Zwierzchowski613-580-2424 x 21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2360&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3784";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2360&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3784";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2360&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3784";NULL;"2360";"1347442200"
"25";"City Council";"2012-Sep-12";"9:30 AM";"41164.3958";"Dawn Whelan613-5802-2424 x21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2408&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3999";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2408&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3999";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2408&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3999";NULL;"2408";"1347528600"
"26";"Audit Sub-Committee";"2012-Sep-13";"9:30 AM";"41165.3958";"Diane Blais613-580-2424, ext. 28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2204&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3969";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2204&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3969";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2204&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3969";NULL;"2204";"1347615000"
"27";"Information Technology Sub-Committee";"2012-Sep-17";"9:30 AM";"41169.3958";"Melody Duffenais613-580-2424 ext 20113
                Email: Melody.Duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2275&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3588";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2275&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3588";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2275&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3588";NULL;"2275";"1347960600"
"28";"Finance and Economic Development Committee";"2012-Sep-19";"9:30 AM";"41171.3958";"Diane Blais613-580-2424, ext. 28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2224&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3937";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2224&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3937";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2224&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3937";NULL;"2224";"1348133400"
"29";"Community and Protective Services Committee";"2012-Sep-20";"9:30 AM";"41172.3958";"Marc Desjardins613-580-2424 x28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2363&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3840";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2363&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3840";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2363&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3840";NULL;"2363";"1348219800"
"30";"Ottawa Built Heritage Advisory Committee";"2012-Sep-20";"6:00 PM";"41172.7500";"Kelly Sammon613-580-2424 x16875
                Email: Kelly.Sammon@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2405&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3968";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2405&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3968";NULL;"2405";"1348250400"
"31";"Planning Committee";"2012-Sep-25";"9:30 AM";"41177.3958";"Christopher Zwierzchowski613-580-2424 x 21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2349&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3771";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2349&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3771";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2349&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3771";NULL;"2349";"1348651800"
